"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"BIOCARTA_D4GDI_PATHWAY",12,0.416666666666667,0.25,"Down",0.1205,0.260840322580645,0.0027,0.0266
"BIOCARTA_ALTERNATIVE_PATHWAY",8,0,0.25,"Up",0.1208,0.260840322580645,0.3369,0.380655605381166
"BIOCARTA_GPCR_PATHWAY",28,0.0357142857142857,0.285714285714286,"Up",0.1214,0.260840322580645,0.0555,0.107487692307692
"BIOCARTA_NFAT_PATHWAY",47,0.0425531914893617,0.234042553191489,"Up",0.1216,0.260840322580645,0.1136,0.157223076923077
"BIOCARTA_IL2_PATHWAY",23,0.0869565217391304,0.260869565217391,"Up",0.1236,0.260840322580645,0.0952,0.145930909090909
"BIOCARTA_EXTRINSIC_PATHWAY",13,0.230769230769231,0.0769230769230769,"Down",0.1238,0.260840322580645,0.4116,0.447028448275862
"BIOCARTA_CDMAC_PATHWAY",15,0.0666666666666667,0.333333333333333,"Up",0.1246,0.260840322580645,0.0739,0.125744594594595
"BIOCARTA_STRESS_PATHWAY",24,0.0833333333333333,0.291666666666667,"Up",0.1273,0.260840322580645,0.1319,0.173709375
"BIOCARTA_HIVNEF_PATHWAY",54,0.166666666666667,0.333333333333333,"Up",0.1281,0.260840322580645,0.0108,0.0510872727272727
"BIOCARTA_IL17_PATHWAY",13,0,0.0769230769230769,"Up",0.1283,0.260840322580645,0.4634,0.488553138075314
"BIOCARTA_TCAPOPTOSIS_PATHWAY",9,0,0.111111111111111,"Up",0.1284,0.260840322580645,0.402,0.438490909090909
"BIOCARTA_PELP1_PATHWAY",5,0,0.6,"Up",0.1349,0.2711,0.0465,0.0983647058823529
"BIOCARTA_FCER1_PATHWAY",38,0.0789473684210526,0.236842105263158,"Up",0.1356,0.2711,0.1322,0.173709375
"BIOCARTA_TOB1_PATHWAY",19,0.0526315789473684,0.0526315789473684,"Up",0.139,0.2753296875,0.45,0.480455084745763
"BIOCARTA_PLC_PATHWAY",9,0,0.222222222222222,"Up",0.1399,0.2753296875,0.4969,0.5216925
"BIOCARTA_SPRY_PATHWAY",16,0.0625,0.375,"Up",0.1432,0.277486363636364,0.086,0.138839240506329
"BIOCARTA_PDGF_PATHWAY",29,0.0344827586206897,0.275862068965517,"Up",0.1446,0.277486363636364,0.1064,0.151413559322034
"BIOCARTA_SHH_PATHWAY",15,0.0666666666666667,0.133333333333333,"Up",0.1447,0.277486363636364,0.2004,0.24042
"BIOCARTA_EGF_PATHWAY",28,0.0714285714285714,0.285714285714286,"Up",0.1454,0.277486363636364,0.0497,0.100296
"BIOCARTA_EICOSANOID_PATHWAY",20,0.2,0.1,"Down",0.1481,0.280515789473684,0.0498,0.100296
"BIOCARTA_IGF1MTOR_PATHWAY",18,0.166666666666667,0.333333333333333,"Up",0.1516,0.28500447761194,0.004,0.0321096774193548
"BIOCARTA_MTOR_PATHWAY",19,0.0526315789473684,0.368421052631579,"Up",0.1566,0.292226666666667,0.0435,0.0952121739130435
"BIOCARTA_CELL2CELL_PATHWAY",9,0.111111111111111,0.333333333333333,"Up",0.1649,0.304812765957447,0.0283,0.0782307692307692
"BIOCARTA_INTEGRIN_PATHWAY",33,0.121212121212121,0.303030303030303,"Up",0.166,0.304812765957447,0.045,0.09765
"BIOCARTA_PYK2_PATHWAY",25,0.12,0.44,"Up",0.1682,0.304812765957447,0.035,0.0846865384615385
"BIOCARTA_HSP27_PATHWAY",14,0.142857142857143,0.285714285714286,"Up",0.1689,0.304812765957447,0.03,0.07966875
"BIOCARTA_SKP2E2F_PATHWAY",9,0.222222222222222,0.111111111111111,"Down",0.1697,0.304812765957447,0.0713,0.122979452054795
"BIOCARTA_PTEN_PATHWAY",17,0.117647058823529,0.411764705882353,"Up",0.1706,0.304812765957447,0.0832,0.136952941176471
"BIOCARTA_WNT_PATHWAY",23,0.0869565217391304,0.347826086956522,"Up",0.1728,0.306570422535211,0.0075,0.0447
"BIOCARTA_CDC25_PATHWAY",8,0.25,0.125,"Down",0.1771,0.312004195804196,0.0304,0.07966875
"BIOCARTA_PRION_PATHWAY",10,0.2,0.3,"Down",0.1886,0.3299625,0.0097,0.0506625
"BIOCARTA_DREAM_PATHWAY",12,0.0833333333333333,0.416666666666667,"Up",0.191,0.331857931034483,0.0256,0.0745862068965517
"BIOCARTA_IL4_PATHWAY",11,0,0.181818181818182,"Up",0.1935,0.3339,0.1042,0.151413559322034
"BIOCARTA_TUBBY_PATHWAY",5,0,0,"Up",0.1965,0.336771428571429,0.6035,0.6258
"BIOCARTA_ASBCELL_PATHWAY",10,0.1,0.2,"Up",0.2027,0.338058823529412,0.0666,0.117918620689655
"BIOCARTA_FBW7_PATHWAY",8,0.25,0.125,"Down",0.2039,0.338058823529412,0.0088,0.0495957446808511
"BIOCARTA_BBCELL_PATHWAY",6,0,0.166666666666667,"Up",0.2043,0.338058823529412,0.4408,0.472634042553192
"BIOCARTA_MET_PATHWAY",33,0.181818181818182,0.333333333333333,"Up",0.2044,0.338058823529412,0.0422,0.0945
"BIOCARTA_CERAMIDE_PATHWAY",22,0.181818181818182,0.318181818181818,"Up",0.2048,0.338058823529412,0.0245,0.074233734939759
"BIOCARTA_GSK3_PATHWAY",21,0.0952380952380952,0.285714285714286,"Up",0.2053,0.338058823529412,0.0297,0.07966875
"BIOCARTA_IGF1R_PATHWAY",22,0,0.318181818181818,"Up",0.2078,0.339954545454546,0.1575,0.197236097560976
"BIOCARTA_EPONFKB_PATHWAY",11,0.0909090909090909,0.272727272727273,"Up",0.2093,0.3402,0.058,0.108173333333333
"BIOCARTA_AKT_PATHWAY",21,0.0952380952380952,0.19047619047619,"Up",0.2119,0.341484076433121,0.1061,0.151413559322034
"BIOCARTA_MALATEX_PATHWAY",8,0.25,0.125,"Down",0.2128,0.341484076433121,0.1605,0.197236097560976
"BIOCARTA_DEATH_PATHWAY",30,0.1,0.266666666666667,"Up",0.2175,0.34516125,0.0864,0.138839240506329
"BIOCARTA_ERYTH_PATHWAY",15,0.0666666666666667,0.133333333333333,"Up",0.2181,0.34516125,0.4605,0.487535294117647
"BIOCARTA_IL10_PATHWAY",12,0,0.25,"Up",0.2192,0.34516125,0.0953,0.145930909090909
"BIOCARTA_AKAPCENTROSOME_PATHWAY",12,0.0833333333333333,0.333333333333333,"Up",0.2284,0.355211111111111,0.0228,0.0735
"BIOCARTA_SODD_PATHWAY",10,0.2,0.3,"Up",0.2284,0.355211111111111,0.0152,0.0606
"BIOCARTA_AKAP95_PATHWAY",10,0.3,0.3,"Down",0.2307,0.35658773006135,6e-04,0.0171818181818182
"BIOCARTA_IL6_PATHWAY",22,0.0454545454545455,0.272727272727273,"Up",0.2403,0.369164634146341,0.1145,0.157603278688525
"BIOCARTA_SLRP_PATHWAY",6,0.333333333333333,0,"Down",0.2493,0.379442168674699,0.5217,0.545459751037344
"BIOCARTA_CCR5_PATHWAY",16,0.0625,0.3125,"Up",0.25,0.379442168674699,0.0143,0.0588688524590164
"BIOCARTA_VDR_PATHWAY",22,0.136363636363636,0.409090909090909,"Up",0.255,0.38471497005988,0.0379,0.0899830188679245
"BIOCARTA_NGF_PATHWAY",20,0.05,0.25,"Up",0.2569,0.385275,0.1385,0.177359390862944
"BIOCARTA_BARRESTIN_PATHWAY",11,0.181818181818182,0,"Down",0.2613,0.389556213017751,0.7249,0.7306488
"BIOCARTA_ACH_PATHWAY",14,0,0.142857142857143,"Up",0.2632,0.390081176470588,0.9038,0.907350597609562
