"","TargetName","Module","CodeClass","GeneID","SystematicName","Negative","genes_lowCount_overNsamples","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2310034C09Rik","2310034C09Rik","Mm_R_NGS_WTA_v1.0","Endogenous","117172","2310034C09Rik",FALSE,FALSE,0.200305492550144,3.35073106727371,1.17843503565616,0.25085939205292,0.622022859713382,-5.49968216222878
"Ap2s1","Ap2s1","Mm_R_NGS_WTA_v1.0","Endogenous","232910","Ap2s1",FALSE,FALSE,0.165771018617628,7.91352471671355,1.17822821797122,0.250940151350129,0.622130325416342,-5.69012375753021
"Actb","Actb","Mm_R_NGS_WTA_v1.0","Endogenous","11461","Actb",FALSE,FALSE,-0.170183071047704,11.4574054508982,-1.17814986835434,0.250970750792923,0.622130325416342,-5.59722976344585
"Spag11a","Spag11a","Mm_R_NGS_WTA_v1.0","Endogenous","78128","Spag11a",FALSE,FALSE,0.194273517408093,3.45103238251536,1.17808464713022,0.250996225061525,0.622130325416342,-5.52668461501632
"Grn","Grn","Mm_R_NGS_WTA_v1.0","Endogenous","14824","Grn",FALSE,FALSE,-0.145798988978994,7.29260823233721,-1.17795730614711,0.251045967771486,0.622176369288911,-5.70929648833415
"Tomm34","Tomm34","Mm_R_NGS_WTA_v1.0","Endogenous","67145","Tomm34",FALSE,FALSE,0.136565760326642,5.74127737972555,1.17782287689003,0.25109848731227,0.622229282797276,-5.75630304840019
"Hprt","Hprt","Mm_R_NGS_WTA_v1.0","Endogenous","15452","Hprt",FALSE,FALSE,0.151853413571476,7.320245439259,1.17771174852258,0.251141909714706,0.622259642997973,-5.70856210719079
"1700019A02Rik","1700019A02Rik","Mm_R_NGS_WTA_v1.0","Endogenous","69397","1700019A02Rik",FALSE,FALSE,-0.190990711482234,3.57734607803659,-1.17760509555096,0.251183588655357,0.622285676387055,-5.55836958576156
"Prpf4","Prpf4","Mm_R_NGS_WTA_v1.0","Endogenous","70052","Prpf4",FALSE,FALSE,-0.15565222182321,4.24870853879333,-1.17727753897917,0.251311626770205,0.622346941146463,-5.67900856817809
"Taf4b","Taf4b","Mm_R_NGS_WTA_v1.0","Endogenous","72504","Taf4b",FALSE,FALSE,-0.16512034930364,4.19249193279815,-1.17715956945986,0.251357751606043,0.622346941146463,-5.66927494353873
"Ppip5k2","Ppip5k2","Mm_R_NGS_WTA_v1.0","Endogenous","227399","Ppip5k2",FALSE,FALSE,0.158628251312145,5.41433292186346,1.17714105436241,0.251364991385791,0.622346941146463,-5.7590227930629
"Matn2","Matn2","Mm_R_NGS_WTA_v1.0","Endogenous","17181","Matn2",FALSE,FALSE,-0.710241526371776,5.36797523941889,-1.26464087523839,0.25136617671928,0.622346941146463,-5.62679884995204
"Xrcc3","Xrcc3","Mm_R_NGS_WTA_v1.0","Endogenous","74335","Xrcc3",FALSE,FALSE,-0.177801037512813,3.7181150202837,-1.17708517470979,0.251386842408105,0.622346941146463,-5.59223688996842
"Get4","Get4","Mm_R_NGS_WTA_v1.0","Endogenous","67604","Get4",FALSE,FALSE,-0.139589288582068,5.76745055219276,-1.17706337292255,0.251395368101241,0.622346941146463,-5.75444408925477
"Myrfl","Myrfl","Mm_R_NGS_WTA_v1.0","Endogenous","237558","Myrfl",FALSE,FALSE,0.169250069267886,4.01750038378253,1.17658739409765,0.251581555555259,0.622472546427057,-5.65322175953497
"Snrpb2","Snrpb2","Mm_R_NGS_WTA_v1.0","Endogenous","20639","Snrpb2",FALSE,FALSE,0.155656577307743,5.82841542755377,1.17650594247458,0.25161342706772,0.622472546427057,-5.75645859312871
"Rgl1","Rgl1","Mm_R_NGS_WTA_v1.0","Endogenous","19731","Rgl1",FALSE,FALSE,-0.169549243552612,3.60276861012937,-1.17650292178936,0.251614609100817,0.622472546427057,-5.56601110606507
"Nfe2l1","Nfe2l1","Mm_R_NGS_WTA_v1.0","Endogenous","18023","Nfe2l1",FALSE,FALSE,0.147064665607572,6.96727342959357,1.17645646404398,0.251632789136614,0.622472546427057,-5.72178347180487
"Slc23a3","Slc23a3","Mm_R_NGS_WTA_v1.0","Endogenous","22626","Slc23a3",FALSE,FALSE,-0.151950891150217,4.3908118484543,-1.17641201885854,0.251650182524351,0.622472546427057,-5.69825227521251
"Nudcd2","Nudcd2","Mm_R_NGS_WTA_v1.0","Endogenous","52653","Nudcd2",FALSE,FALSE,-0.149254336748152,5.16449895298659,-1.17639435930093,0.25165709374705,0.622472546427057,-5.75321853378918
"Serac1","Serac1","Mm_R_NGS_WTA_v1.0","Endogenous","321007","Serac1",FALSE,FALSE,0.150366972883815,4.31233546473699,1.17624495910189,0.251715568478545,0.622472546427057,-5.69598088356852
"Hsd17b14","Hsd17b14","Mm_R_NGS_WTA_v1.0","Endogenous","66065","Hsd17b14",FALSE,FALSE,-0.156992791314216,4.45518062655004,-1.17622821001303,0.25172212464555,0.622472546427057,-5.70377850316221
"Plekha4","Plekha4","Mm_R_NGS_WTA_v1.0","Endogenous","69217","Plekha4",FALSE,FALSE,0.18415100102174,3.91207583686326,1.17621642487016,0.251726737830267,0.622472546427057,-5.63503857050195
