"","NGenes","Direction","PValue","FDR"
"BIOCARTA_AKAPCENTROSOME_PATHWAY",12,"Up",0.270065124801881,0.479270503169536
"BIOCARTA_PRION_PATHWAY",10,"Down",0.274124069138929,0.483071786174896
"BIOCARTA_WNT_LRP6_PATHWAY",6,"Up",0.290371605528109,0.507757959690907
"BIOCARTA_CALCINEURIN_PATHWAY",17,"Up",0.292162318076117,0.507757959690907
"BIOCARTA_LONGEVITY_PATHWAY",15,"Up",0.295901361418429,0.510733856694822
"BIOCARTA_NEUTROPHIL_PATHWAY",8,"Up",0.299496762924826,0.513423022156844
"BIOCARTA_FBW7_PATHWAY",8,"Down",0.302152150318049,0.514475282973974
"BIOCARTA_CCR5_PATHWAY",16,"Up",0.309585090887656,0.523593576534827
"BIOCARTA_TRKA_PATHWAY",13,"Up",0.314689000553432,0.528677520929765
"BIOCARTA_PLCE_PATHWAY",11,"Down",0.322313924206949,0.53790138344471
"BIOCARTA_HES_PATHWAY",12,"Down",0.331508154792613,0.545396460923967
"BIOCARTA_IL10_PATHWAY",12,"Up",0.332165794625033,0.545396460923967
"BIOCARTA_PARKIN_PATHWAY",8,"Up",0.334728741080589,0.545396460923967
"BIOCARTA_TGFB_PATHWAY",17,"Up",0.337161842702367,0.545396460923967
"BIOCARTA_EXTRINSIC_PATHWAY",13,"Down",0.344459645836222,0.545396460923967
"BIOCARTA_CASPASE_PATHWAY",22,"Down",0.344538282678997,0.545396460923967
"BIOCARTA_IGF1MTOR_PATHWAY",18,"Up",0.347889489205659,0.545396460923967
"BIOCARTA_NOTCH_PATHWAY",6,"Up",0.347956707493689,0.545396460923967
"BIOCARTA_PCAF_PATHWAY",9,"Up",0.350746123189952,0.545396460923967
"BIOCARTA_PRC2_PATHWAY",10,"Down",0.350821556798829,0.545396460923967
"BIOCARTA_CYTOKINE_PATHWAY",18,"Down",0.352339874956708,0.545396460923967
"BIOCARTA_SKP2E2F_PATHWAY",9,"Down",0.352776282264312,0.545396460923967
"BIOCARTA_CTLA4_PATHWAY",16,"Up",0.369262439062912,0.56386083078564
"BIOCARTA_BARRESTIN_PATHWAY",11,"Down",0.369680900696276,0.56386083078564
"BIOCARTA_AMAN_PATHWAY",9,"Up",0.371432134565144,0.56386083078564
"BIOCARTA_HSWI_SNF_PATHWAY",10,"Up",0.376958774387996,0.568824018836976
"BIOCARTA_IL17_PATHWAY",13,"Up",0.382488873907126,0.57373331086069
"BIOCARTA_SUMO_PATHWAY",6,"Up",0.388999832787094,0.580047087942886
"BIOCARTA_ASBCELL_PATHWAY",10,"Up",0.392795887631852,0.582262139313099
